YEAR,QUARTER,REGION,PROVINCE,SEX,VALUE,UNIT,SOURCE
2564,"ไตรมาสที่ 4",ภาคใต้,นครศรีธรรมราช,ชาย,484.70,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 1",ภาคเหนือ,พิจิตร,ชาย,149.70,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 1",ภาคใต้,พัทลุง,ชาย,145.40,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคเหนือ,สุโขทัย,ชาย,190.00,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคเหนือ,สุโขทัย,หญิง,156.50,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคเหนือ,อุตรดิตถ์,ชาย,113.10,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคเหนือ,อุตรดิตถ์,หญิง,87.40,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคเหนือ,อุทัยธานี,ชาย,80.00,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคเหนือ,อุทัยธานี,หญิง,69.70,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคเหนือ,เชียงราย,ชาย,332.90,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคเหนือ,เชียงราย,หญิง,273.90,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคเหนือ,เชียงใหม่,ชาย,514.70,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคเหนือ,เชียงใหม่,หญิง,469.60,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคเหนือ,เพชรบูรณ์,ชาย,263.80,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคเหนือ,เพชรบูรณ์,หญิง,219.50,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคเหนือ,แพร่,ชาย,104.60,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคเหนือ,แพร่,หญิง,84.50,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคเหนือ,แม่ฮ่องสอน,ชาย,71.10,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคเหนือ,แม่ฮ่องสอน,หญิง,62.60,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคตะวันออกเฉียงเหนือ,กาฬสินธุ์,ชาย,213.50,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคตะวันออกเฉียงเหนือ,กาฬสินธุ์,หญิง,171.80,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคตะวันออกเฉียงเหนือ,ขอนแก่น,ชาย,463.30,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคตะวันออกเฉียงเหนือ,ขอนแก่น,หญิง,392.20,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคตะวันออกเฉียงเหนือ,ชัยภูมิ,ชาย,255.90,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคตะวันออกเฉียงเหนือ,ชัยภูมิ,หญิง,214.00,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคตะวันออกเฉียงเหนือ,นครพนม,ชาย,151.50,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคตะวันออกเฉียงเหนือ,นครพนม,หญิง,120.00,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคตะวันออกเฉียงเหนือ,นครราชสีมา,ชาย,672.50,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคตะวันออกเฉียงเหนือ,นครราชสีมา,หญิง,536.20,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคตะวันออกเฉียงเหนือ,บึงกาฬ,ชาย,99.40,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคตะวันออกเฉียงเหนือ,บึงกาฬ,หญิง,92.10,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคตะวันออกเฉียงเหนือ,บุรีรัมย์,ชาย,348.40,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคตะวันออกเฉียงเหนือ,บุรีรัมย์,หญิง,303.10,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคตะวันออกเฉียงเหนือ,มหาสารคาม,ชาย,208.70,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคตะวันออกเฉียงเหนือ,มหาสารคาม,หญิง,160.90,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคตะวันออกเฉียงเหนือ,มุกดาหาร,ชาย,122.30,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคตะวันออกเฉียงเหนือ,มุกดาหาร,หญิง,107.40,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคตะวันออกเฉียงเหนือ,ยโสธร,ชาย,134.40,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคตะวันออกเฉียงเหนือ,ยโสธร,หญิง,139.00,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคตะวันออกเฉียงเหนือ,ร้อยเอ็ด,ชาย,294.70,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคตะวันออกเฉียงเหนือ,ร้อยเอ็ด,หญิง,258.20,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคตะวันออกเฉียงเหนือ,ศรีสะเกษ,ชาย,296.10,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคตะวันออกเฉียงเหนือ,ศรีสะเกษ,หญิง,268.00,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคตะวันออกเฉียงเหนือ,สกลนคร,ชาย,234.00,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคตะวันออกเฉียงเหนือ,สกลนคร,หญิง,171.20,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคตะวันออกเฉียงเหนือ,สุรินทร์,ชาย,271.90,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคตะวันออกเฉียงเหนือ,สุรินทร์,หญิง,221.10,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคตะวันออกเฉียงเหนือ,หนองคาย,ชาย,115.60,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคตะวันออกเฉียงเหนือ,หนองคาย,หญิง,101.20,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคตะวันออกเฉียงเหนือ,หนองบัวลำภู,ชาย,126.30,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคตะวันออกเฉียงเหนือ,หนองบัวลำภู,หญิง,96.20,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคตะวันออกเฉียงเหนือ,อำนาจเจริญ,ชาย,69.00,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคตะวันออกเฉียงเหนือ,อำนาจเจริญ,หญิง,57.60,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคตะวันออกเฉียงเหนือ,อุดรธานี,ชาย,327.90,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคตะวันออกเฉียงเหนือ,อุดรธานี,หญิง,278.30,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคตะวันออกเฉียงเหนือ,อุบลราชธานี,ชาย,485.40,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคตะวันออกเฉียงเหนือ,อุบลราชธานี,หญิง,369.70,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคตะวันออกเฉียงเหนือ,เลย,ชาย,162.00,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคตะวันออกเฉียงเหนือ,เลย,หญิง,149.20,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคใต้,กระบี่,ชาย,135.80,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคใต้,กระบี่,หญิง,106.10,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคใต้,ชุมพร,ชาย,156.70,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 1",ภาคใต้,พัทลุง,หญิง,129.20,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 1",ภาคใต้,ภูเก็ต,ชาย,166.10,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 1",ภาคใต้,ภูเก็ต,หญิง,138.30,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 1",ภาคใต้,ยะลา,ชาย,143.40,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 1",ภาคใต้,ยะลา,หญิง,112.90,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 1",ภาคใต้,ระนอง,ชาย,88.90,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 1",ภาคใต้,ระนอง,หญิง,60.30,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 1",ภาคใต้,สงขลา,ชาย,483.70,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 1",ภาคใต้,สงขลา,หญิง,438.60,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 1",ภาคใต้,สตูล,ชาย,89.60,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 1",ภาคใต้,สตูล,หญิง,70.70,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 1",ภาคใต้,สุราษฎร์ธานี,ชาย,357.40,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 1",ภาคใต้,สุราษฎร์ธานี,หญิง,285.40,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",กรุงเทพมหานคร,กรุงเทพมหานคร,ชาย,2890.40,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",กรุงเทพมหานคร,กรุงเทพมหานคร,หญิง,2735.00,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคกลาง,กาญจนบุรี,ชาย,263.00,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคกลาง,กาญจนบุรี,หญิง,219.60,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคกลาง,จันทบุรี,ชาย,198.10,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคกลาง,จันทบุรี,หญิง,177.90,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคกลาง,ฉะเชิงเทรา,ชาย,282.90,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคกลาง,ฉะเชิงเทรา,หญิง,230.40,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคกลาง,ชลบุรี,ชาย,577.50,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคกลาง,ชลบุรี,หญิง,511.10,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคกลาง,ชัยนาท,ชาย,89.50,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคกลาง,ชัยนาท,หญิง,75.80,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคกลาง,ตราด,ชาย,92.90,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคกลาง,ตราด,หญิง,77.50,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคกลาง,นครนายก,ชาย,78.50,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคกลาง,นครนายก,หญิง,72.40,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคกลาง,นครปฐม,ชาย,421.80,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคกลาง,นครปฐม,หญิง,396.90,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคกลาง,นนทบุรี,ชาย,595.50,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคกลาง,นนทบุรี,หญิง,543.20,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคกลาง,ปทุมธานี,ชาย,574.30,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคกลาง,ปทุมธานี,หญิง,522.90,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคกลาง,ประจวบคีรีขันธ์,ชาย,148.50,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคกลาง,ประจวบคีรีขันธ์,หญิง,126.40,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคกลาง,ปราจีนบุรี,ชาย,206.30,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคกลาง,ปราจีนบุรี,หญิง,189.30,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคกลาง,พระนครศรีอยุธยา,ชาย,284.30,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคกลาง,พระนครศรีอยุธยา,หญิง,242.90,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคกลาง,ระยอง,ชาย,359.80,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคกลาง,ระยอง,หญิง,301.20,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคกลาง,ราชบุรี,ชาย,254.60,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคกลาง,ราชบุรี,หญิง,209.90,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคกลาง,ลพบุรี,ชาย,243.10,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคกลาง,ลพบุรี,หญิง,211.20,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคกลาง,สมุทรปราการ,ชาย,769.40,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคกลาง,สมุทรปราการ,หญิง,642.20,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคกลาง,สมุทรสงคราม,ชาย,55.30,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคกลาง,สมุทรสงคราม,หญิง,45.70,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคกลาง,สมุทรสาคร,ชาย,385.20,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคกลาง,สมุทรสาคร,หญิง,369.00,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคกลาง,สระบุรี,ชาย,234.70,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคกลาง,สระบุรี,หญิง,192.50,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคกลาง,สระแก้ว,ชาย,190.10,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคกลาง,สระแก้ว,หญิง,158.30,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคกลาง,สิงห์บุรี,ชาย,55.10,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคกลาง,สิงห์บุรี,หญิง,47.00,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคกลาง,สุพรรณบุรี,ชาย,260.40,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคกลาง,สุพรรณบุรี,หญิง,208.70,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคกลาง,อ่างทอง,ชาย,72.60,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคกลาง,อ่างทอง,หญิง,59.00,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคกลาง,เพชรบุรี,ชาย,147.40,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคกลาง,เพชรบุรี,หญิง,140.20,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคเหนือ,กำแพงเพชร,ชาย,233.90,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคเหนือ,กำแพงเพชร,หญิง,196.60,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคเหนือ,ตาก,ชาย,154.80,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคเหนือ,ตาก,หญิง,126.60,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคเหนือ,นครสวรรค์,ชาย,272.20,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคเหนือ,นครสวรรค์,หญิง,242.40,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคเหนือ,น่าน,ชาย,130.70,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคเหนือ,น่าน,หญิง,109.50,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคเหนือ,พะเยา,ชาย,101.20,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคเหนือ,พะเยา,หญิง,72.90,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคเหนือ,พิจิตร,ชาย,144.60,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคเหนือ,พิจิตร,หญิง,132.70,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคเหนือ,พิษณุโลก,ชาย,257.80,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคเหนือ,พิษณุโลก,หญิง,224.80,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคเหนือ,ลำปาง,ชาย,196.00,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคเหนือ,ลำปาง,หญิง,162.30,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคเหนือ,ลำพูน,ชาย,116.90,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคเหนือ,ลำพูน,หญิง,107.70,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 2",ภาคใต้,ชุมพร,หญิง,118.60,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 4",ภาคใต้,ภูเก็ต,ชาย,174.20,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 4",ภาคใต้,ภูเก็ต,หญิง,147.10,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 4",ภาคใต้,ยะลา,ชาย,146.10,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 4",ภาคใต้,ยะลา,หญิง,119.10,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 4",ภาคใต้,ระนอง,ชาย,92.40,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 4",ภาคใต้,ระนอง,หญิง,61.60,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 4",ภาคใต้,สงขลา,ชาย,479.00,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 4",ภาคใต้,สงขลา,หญิง,430.70,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 4",ภาคใต้,สตูล,ชาย,92.30,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 4",ภาคใต้,สตูล,หญิง,67.50,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 4",ภาคใต้,สุราษฎร์ธานี,ชาย,361.10,พันคน,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาสที่ 4",ภาคใต้,สุราษฎร์ธานี,หญิง,302.20,พันคน,สำนักงานสถิติแห่งชาติ
2566,"ไตรมาสที่ 1",กรุงเทพมหานคร,กรุงเทพมหานคร,ชาย,2966.00,พันคน,สำนักงานสถิติแห่งชาติ
2566,"ไตรมาสที่ 1",กรุงเทพมหานคร,กรุงเทพมหานคร,หญิง,2789.80,พันคน,สำนักงานสถิติแห่งชาติ
2566,"ไตรมาสที่ 1",ภาคกลาง,สมุทรปราการ,ชาย,792.80,พันคน,สำนักงานสถิติแห่งชาติ
2566,"ไตรมาสที่ 1",ภาคกลาง,สมุทรปราการ,หญิง,686.10,พันคน,สำนักงานสถิติแห่งชาติ
2566,"ไตรมาสที่ 1",ภาคกลาง,นนทบุรี,ชาย,605.10,พันคน,สำนักงานสถิติแห่งชาติ
2566,"ไตรมาสที่ 1",ภาคกลาง,นนทบุรี,หญิง,539.90,พันคน,สำนักงานสถิติแห่งชาติ
2566,"ไตรมาสที่ 1",ภาคกลาง,ปทุมธานี,ชาย,598.40,พันคน,สำนักงานสถิติแห่งชาติ
2566,"ไตรมาสที่ 1",ภาคกลาง,ปทุมธานี,หญิง,559.10,พันคน,สำนักงานสถิติแห่งชาติ
2566,"ไตรมาสที่ 1",ภาคกลาง,พระนครศรีอยุธยา,ชาย,282.80,พันคน,สำนักงานสถิติแห่งชาติ
2566,"ไตรมาสที่ 1",ภาคกลาง,พระนครศรีอยุธยา,หญิง,250.60,พันคน,สำนักงานสถิติแห่งชาติ
2566,"ไตรมาสที่ 1",ภาคกลาง,อ่างทอง,ชาย,68.50,พันคน,สำนักงานสถิติแห่งชาติ
2566,"ไตรมาสที่ 1",ภาคกลาง,อ่างทอง,หญิง,58.80,พันคน,สำนักงานสถิติแห่งชาติ
2566,"ไตรมาสที่ 1",ภาคกลาง,ลพบุรี,ชาย,233.20,พันคน,สำนักงานสถิติแห่งชาติ
2566,"ไตรมาสที่ 1",ภาคกลาง,ลพบุรี,หญิง,189.70,พันคน,สำนักงานสถิติแห่งชาติ
2566,"ไตรมาสที่ 1",ภาคกลาง,สิงห์บุรี,ชาย,54.40,พันคน,สำนักงานสถิติแห่งชาติ
2566,"ไตรมาสที่ 1",ภาคกลาง,สิงห์บุรี,หญิง,51.10,พันคน,สำนักงานสถิติแห่งชาติ
2566,"ไตรมาสที่ 1",ภาคกลาง,ชัยนาท,ชาย,86.10,พันคน,สำนักงานสถิติแห่งชาติ
2566,"ไตรมาสที่ 1",ภาคกลาง,ชัยนาท,หญิง,75.20,พันคน,สำนักงานสถิติแห่งชาติ
2566,"ไตรมาสที่ 1",ภาคกลาง,สระบุรี,ชาย,231.30,พันคน,สำนักงานสถิติแห่งชาติ
2566,"ไตรมาสที่ 1",ภาคกลาง,สระบุรี,หญิง,186.70,พันคน,สำนักงานสถิติแห่งชาติ
2566,"ไตรมาสที่ 1",ภาคกลาง,ชลบุรี,ชาย,614.80,พันคน,สำนักงานสถิติแห่งชาติ
2566,"ไตรมาสที่ 1",ภาคกลาง,ชลบุรี,หญิง,531.20,พันคน,สำนักงานสถิติแห่งชาติ
2566,"ไตรมาสที่ 1",ภาคกลาง,ระยอง,ชาย,367.30,พันคน,สำนักงานสถิติแห่งชาติ
2566,"ไตรมาสที่ 1",ภาคกลาง,ระยอง,หญิง,332.20,พันคน,สำนักงานสถิติแห่งชาติ
2566,"ไตรมาสที่ 1",ภาคกลาง,จันทบุรี,ชาย,193.80,พันคน,สำนักงานสถิติแห่งชาติ
